"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6903","flight booking with login modal handling","chromium","Thu Sep 18 17:27:28 IST 2025","passed","Thu Sep 18 17:27:35 IST 2025","","makeMyTrip2.spec.ts","",""
"","8687","@p1Create New Coupon in Evershop","firefox","Wed Sep 17 16:14:23 IST 2025","passed","Wed Sep 17 16:14:31 IST 2025","","Evershop_DDF\create-coupon.spec.ts","",""
"","0","TC02 - Update Product Name","chromium","Fri Oct 17 16:48:17 IST 2025","skipped","Fri Oct 17 16:48:17 IST 2025","$@p1 Product CRUD Operations","productCRUD.spec.ts","",""
"","28","Update product description","chromium","Fri Sep 19 00:48:04 IST 2025","failed","Fri Sep 19 00:48:04 IST 2025","Database CRUD operations for product_description table","Evershop_DDF\databaseCRUD-Test-02.spec.ts","",""
"","4","New user sign","","Fri Sep 19 16:24:36 IST 2025","passed","Fri Sep 19 16:24:36 IST 2025","","","",""
"","0","TC02 - Update Product Name","firefox","Fri Oct 17 17:45:52 IST 2025","skipped","Fri Oct 17 17:45:52 IST 2025","Product CRUD Operations","productCRUD.spec.ts","",""
"","8512","flight booking with login modal handling","chromium","Thu Sep 18 17:49:52 IST 2025","passed","Thu Sep 18 17:50:01 IST 2025","","makeMytrip.spec.ts","",""
"","351","TC04 - Database Verification","chromium","Mon Oct 20 13:46:49 IST 2025","passed","Mon Oct 20 13:46:49 IST 2025","Product CRUD Operations","productCRUD.spec.ts","",""
"","5650","@BookingFlight booking for Student","chromium","Sat Sep 20 17:24:39 IST 2025","passed","Sat Sep 20 17:24:44 IST 2025","","makeMyTrip-Xlsx-02.spec.ts","",""
"","21749","signup page and Admin validation","chromium","Wed Sep 17 15:52:37 IST 2025","failed","Wed Sep 17 15:52:59 IST 2025","@p1Subscription Flow","Evershop_DDF\subscription-flow.spec.ts","",""
"","9028","@BookingFlight booking for Senior Citizen","chromium","Sat Sep 20 17:24:28 IST 2025","passed","Sat Sep 20 17:24:37 IST 2025","","makeMyTrip-Xlsx-02.spec.ts","",""
"","12277","@p1 Add Product in Evershop","chromium","Wed Sep 17 16:01:22 IST 2025","failed","Wed Sep 17 16:01:34 IST 2025","","Evershop_DDF\admin-add-product.spec.ts","",""
"","0","TC03 - Update Product Images","firefox","Fri Oct 17 17:45:52 IST 2025","skipped","Fri Oct 17 17:45:52 IST 2025","Product CRUD Operations","productCRUD.spec.ts","",""
